KURUMLAR LİSTE,,,,,,,,,
IL_ADI,ILCE_ADI,KURUM_ADI,ADRES,TEL,FAX,MERNIS_ADRES_KODU,WEB_ADRES,KURUM_TUR_ADI,KURUM_TUR_KODU
İSTANBUL,ATAŞEHİR,KAYIŞDAĞI ARİF PAŞA İLKOKULU,KAYIŞDAĞI MAH. BAYSAL SK. ARIF PASA ILKOGRETIM OKULU BLOK NO: 1 İÇ KAPI NO: 1 ATAŞEHİR / İSTANBUL,(216) 364 29 58,(216) 364 29 65,2115122018,arifpasailkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ATAŞEHİR,MEHMET AKİF ERSOY İLKOKULU,ATAŞEHİR ATATÜRK MAH. FIRAT CAD. NO: 13 İÇ KAPI NO: 1 ATAŞEHİR / İSTANBUL,(216) 455 80 13,(216) 455 80 13,2611045507,atasehirmehmetakifersoyilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ATAŞEHİR,MUSTAFA ÖNCEL İLKOKULU,FERHATPAŞA MAH. 38. SK. MUSTAFA ÖNCEL İLKOKUL - ORTAOKUL BLOK NO: 54 İÇ KAPI NO: 1 ATAŞEHİR / İSTANBUL,(216) 474 39 81,(216) 471 80 16,2232154993,mustafaoncelilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ATAŞEHİR,MUSTAFA ZEKİ DEMİR İLKOKULU,ATAŞEHİR FERHATPAŞA MAH. 27. SK. NO: 38 ATAŞEHİR / İSTANBUL,(216) 471 52 64,(216) 471 48 49,2351214735,mustafazekidemirilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ATAŞEHİR,NECATİBEY İLKOKULU,MUSTAFA KEMAL MAH. 3092. SK. NECATİBEY İLKOKULU BLOK NO: 9 İÇ KAPI NO: 1 ATAŞEHİR / İSTANBUL,(216) 315 78 88,,2053626475,necatibeyilkokuluatasehir.meb.k12.tr,İlkokul,225
İSTANBUL,ATAŞEHİR,SAKARYA İLKOKULU,YENİSAHRA MAH. KANARYA SK. B SİTESİ SAKARYA İLKÖĞRETİM OKULU BLOK NO: 2/2 İÇ KAPI NO: 1 ATAŞEHİR / İSTANBUL,(216) 324 63 50,(216) 317 91 86,3532016254,atasehirsakaryaio.meb.k12.tr,İlkokul,225
İSTANBUL,ATAŞEHİR,SARE SELAHATTİN UZAL İLKOKULU,BARBAROS MAH. TÜMER SK. SARE SELAHATTİN UZEL İ.Ö.O. SİTESİ NO: 2-1 İÇ KAPI NO: 1 ATAŞEHİR / İSTANBUL,(216) 472 35 21,(216) 472 46 22,3844600126,sui.meb.k12.tr,İlkokul,225
İSTANBUL,ATAŞEHİR,ŞEHİT ÖĞRETMEN HASAN AKAN İLKOKULU,ATAŞEHİR ATATÜRK MAH. YAKUT CAD. SEHIT OGRETMEN HASAN AK BLOK NO: 6 İÇ KAPI NO: 1 ATAŞEHİR / İSTANBUL,(216) 456 45 64,(216) 456 45 63,1615638622,hasanakan.meb.k12.tr,İlkokul,225
İSTANBUL,ATAŞEHİR,ŞEHİT ÖĞRETMEN MEHMET FİDAN İLKOKULU,İNÖNÜ MAH. 19 MAYIS CAD. SEHIT OGRETMEN MEHMET FIDAN ILKOKULU BLOK NO: 64/1 İÇ KAPI NO: 1 ATAŞEHİR / İSTANBUL,(216) 576 84 78,(216) 576 02 72,2089961888,mfi.meb.k12.tr,İlkokul,225
İSTANBUL,AVCILAR,ABDULKADİR UZTÜRK İLKOKULU,MERKEZ MAH. YAZAR SK. ABDULKADİR UZTÜRK İLKOKULU BLOK NO: 2 AVCILAR / İSTANBUL,(212) 591 10 33,,1165649110,abdulkadiruzturkilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,AVCILAR,ALSANCAK İLKOKULU,GÜMÜŞPALA MAH. MÜGE SK. ÖMER SEYFETTİN İLKOKULU SİTESİ ÖMER SEYFETTİN İLKÖĞRETİM OKULU BLOK NO: 16/1 İÇ KAPI NO: 1 AVCILAR / İSTANBUL,(212) 509 75 62,(212) 695 67 46,1752466985,avcilaralsancakio.meb.k12.tr,İlkokul,225
İSTANBUL,AVCILAR,AMBARLI İLKOKULU,AMBARLI MAH. CUMHURİYET CAD. AMBARLI İLKÖĞRETİM OKULU SİTESİ AMBARLI İLKÖĞRETİM OKULU BLOK NO: 25/2 AVCILAR / İSTANBUL,(212) 591 10 25,(212) 509 71 18,1627633769,ambarli.meb.k12.tr,İlkokul,225
İSTANBUL,AVCILAR,CİHANGİR İLKOKULU,CİHANGİR MAH. TALATPAŞA CAD. CİHANGİR İLKOKULU BLOK NO: 49/1 İÇ KAPI NO: 2 AVCILAR / İSTANBUL,(212) 813 13 15,(212) 813 13 15,1840364051,cihangirilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,AVCILAR,CUMHURİYET İLKOKULU,FİRUZKÖY MAH. ÜLKER CAD. CUMHURİYET İLKÖĞRETİM OKULU BLOK NO: 3 İÇ KAPI NO: 1 AVCILAR / İSTANBUL,(212) 428 49 02,(212) 428 49 02,1544270661,avcilarcumhuriyetilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,AVCILAR,DENİZKÖŞKLER İLKOKULU,DENİZKÖŞKLER MAH. AKKOYUN SK. ILKOKUL SİTESİ AVCILAR DENİZKÖŞKLER İLKOKULU BLOK NO: 4 İÇ KAPI NO: 1 AVCILAR / İSTANBUL,(212) 509 28 44,,2241413331,denizkoskler.meb.k12.tr,İlkokul,225
İSTANBUL,AVCILAR,EMLAK KONUT NURETTİN TOPÇU İLKOKULU,YEŞİLKENT MAH. BAHÇEŞEHİR YANYOL CAD. NO: 18/13 İÇ KAPI NO: 0 AVCILAR / İSTANBUL,(212) 830 23 78,(212) 830 23 80,2384563595,avcilarnurettintopcu.meb.k12.tr,İlkokul,225
İSTANBUL,AVCILAR,EMLAK KONUT SULTAN ALPARSLAN İLKOKULU,TAHTAKALE MAH. MİNE ÇİÇEĞİ SK. NO: 5 İÇ KAPI NO: 1 AVCILAR / İSTANBUL,(212) 809 71 71,(212) 809 71 71,1449795937,avcilarsultanalparslanilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,AVCILAR,FİRUZKÖY İLKOKULU,FİRUZKÖY MAH. KORUTÜRK SK. FİRUZKÖY İLKOKULU SİTESİ FİRUZKÖY İLKOKULU BLOK NO: 7 İÇ KAPI NO: 1 AVCILAR / İSTANBUL,(212) 428 42 52,(212) 428 42 52,1098451535,firuzkoyilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,AVCILAR,GÜMÜŞPALA İLKOKULU,GÜMÜŞPALA MAH. ÖZGÜR SK. GÜMÜŞPALA İLKOKULU SİTESİ GÜMÜŞPALA İLKOKULU BLOK NO: 34 İÇ KAPI NO: 1 AVCILAR / İSTANBUL,(212) 591 11 70,(212) 695 72 35,1818727503,gumuspalailkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,AVCILAR,İNÖNÜ İLKOKULU,AMBARLI MAH. KIRIM SK. AVCILAR İNÖNÜ İLKOKULU SİTESİ AVCILAR İNÖNÜ İLKOKULU BLOK NO: 1 İÇ KAPI NO: 1 AVCILAR / İSTANBUL,(212) 676 08 22,(212) 676 08 22,2519804013,avcilarinonuilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,AVCILAR,LEYLA BAYRAM İLKOKULU,YEŞİLKENT MAH. TEVFİK FİKRET CAD. LEYLA BAYRAM İLKOKLU BLOK NO: 54 İÇ KAPI NO: 1 AVCILAR / İSTANBUL,,,2034776498,leylabayramilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,AVCILAR,MAREŞAL FEVZİ ÇAKMAK İLKOKULU,CİHANGİR MAH. KARTOPU SK. MAREŞAL FEVZİ ÇAKMAK İLKÖĞRETİ BLOK NO: 9 İÇ KAPI NO: 1 AVCILAR / İSTANBUL,(212) 422 63 69,(212) 422 64 18,2540203409,avcilarmaresalilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,AVCILAR,MEHMETÇİK İLKOKULU,MUSTAFA KEMALPAŞA MAH. KARADUT SK. ILKOKUL SİTESİ AVCILAR MEHMETÇİK İLKOKULU BLOK NO: 200 İÇ KAPI NO: 1 AVCILAR / İSTANBUL,(212) 690 25 85,(212) 690 25 86,2414848917,avcilarmehmetcik.meb.k12.tr,İlkokul,225
İSTANBUL,AVCILAR,MUHSİN YAZICIOĞLU İLKOKULU,YEŞİLKENT MAH. AMASYALILAR CAD. MUHSİN YAZICIOĞLU İLKOKULU BLOK NO: 123 İÇ KAPI NO: 1 AVCILAR / İSTANBUL,(212) 699 00 08,(212) 699 00 08,2161676842,avcilarmuhsinyaziciogluilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,AVCILAR,NECDET SEMKER İLKOKULU,TAHTAKALE MAH. GAFFAR OKKAN CAD. ILKOKUL SİTESİ NECDET SEMKER İLKOKULU BLOK NO: 59/1 İÇ KAPI NO: 1 AVCILAR / İSTANBUL,(212) 648 00 55,,1123395780,necdetsemkerilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,AVCILAR,ŞEHİT EYÜP ÇOLAKOĞLU İLKOKULU,TAHTAKALE MAH. ÇİLEK SK. ŞEHİT EYÜP ÇOLAKOĞLU İLKOKULU BLOK NO: 30 İÇ KAPI NO: 1 AVCILAR / İSTANBUL,(212) 648 11 45,(212) 648 11 46,1544592825,sehiteyupcolakogluilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,AVCILAR,ŞEHİT ŞERİFE BACI İLKOKULU,TAHTAKALE MAH. ÖZGÜRLÜK SK. ŞEHİT ŞERİFE BACI İLKOKULU BLOK NO: 57 AVCILAR / İSTANBUL,(212) 687 11 18,(212) 687 11 18,2672241862,avcilarserifebaci.meb.k12.tr,İlkokul,225
İSTANBUL,AVCILAR,TOKİ SALİH ŞÜKRİYE YOLUÇ İLKOKULU,TAHTAKALE MAH. ASLANAĞZI SK. TOKİ SALİH ŞÜKRİYE YOLUÇ İLKOKULU BLOK NO: 1 İÇ KAPI NO: 1 AVCILAR / İSTANBUL,(212) 405 01 52,(212) 405 01 34,3019324833,tokisalihsukriye.meb.k12.tr,İlkokul,225
